Publisher,Type
Benzinga,Guaranteed Placement
Barchart,Guaranteed Placement
Google News,Guaranteed Placement
FOX 40 News WICZ-TV,Guaranteed Placement
The Globe and Mail,Wide Distribution (Non-Guaranteed)
NCN,Wide Distribution (Non-Guaranteed)
NewsNet,Wide Distribution (Non-Guaranteed)
Bridge Media Networks,Wide Distribution (Non-Guaranteed)
Southern Sports Today,Wide Distribution (Non-Guaranteed)
Xtra 106.3,Wide Distribution (Non-Guaranteed)
Rewind 1019,Wide Distribution (Non-Guaranteed)
US 98.3,Wide Distribution (Non-Guaranteed)
Country Legends 105.9,Wide Distribution (Non-Guaranteed)
967 WSHV,Wide Distribution (Non-Guaranteed)
1045 The Dan,Wide Distribution (Non-Guaranteed)
BEACON Senior News,Wide Distribution (Non-Guaranteed)
Bryan County Magazine,Wide Distribution (Non-Guaranteed)
Chattahoochee Valley Living ,Wide Distribution (Non-Guaranteed)
Elk Grove Citizen,Wide Distribution (Non-Guaranteed)
Fredericksburg Parent & Family,Wide Distribution (Non-Guaranteed)
Life Magazine,Wide Distribution (Non-Guaranteed)
Hendersonville Magazine,Wide Distribution (Non-Guaranteed)
Porch & Parish,Wide Distribution (Non-Guaranteed)
Style Magazine,Wide Distribution (Non-Guaranteed)
KMLK-FM,Wide Distribution (Non-Guaranteed)
95.3 WHLF-FM,Wide Distribution (Non-Guaranteed)
NewsTalk 97.1fm,Wide Distribution (Non-Guaranteed)
KZLK-FM: Z106.3,Wide Distribution (Non-Guaranteed)
East Hanover Florham Park Life,Wide Distribution (Non-Guaranteed)
Effingham Magazine,Wide Distribution (Non-Guaranteed)
Middletown Life Magazine,Wide Distribution (Non-Guaranteed)
Newark Life,Wide Distribution (Non-Guaranteed)
Oregon Family Magazine,Wide Distribution (Non-Guaranteed)
The Palmetto Network,Wide Distribution (Non-Guaranteed)
Pooler Magazine,Wide Distribution (Non-Guaranteed)
San Clemente Journal,Wide Distribution (Non-Guaranteed)
The 'hood magazine,Wide Distribution (Non-Guaranteed)
Today's Family Magazine,Wide Distribution (Non-Guaranteed)
NewsNet,Wide Distribution (Non-Guaranteed)
METRO - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
SANDHILLS - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
NORTHEAST - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
PANHANDLE - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
PLATTE VALLEY - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
RIVER COUNTRY - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
SOUTHEAST - NEWS CHANNEL NEBRASKA,Wide Distribution (Non-Guaranteed)
NEWSnet Northern Michigan,Wide Distribution (Non-Guaranteed)
Capital City Rock 104.5,Wide Distribution (Non-Guaranteed)
Today's Hits Current 94.3,Wide Distribution (Non-Guaranteed)
Hot Country 93.1,Wide Distribution (Non-Guaranteed)
KBEW 98.1 FM Today's Country,Wide Distribution (Non-Guaranteed)
KCCR Radio AM 1240,Wide Distribution (Non-Guaranteed)
