Publisher,Type
Buisness Insider,Guaranteed placement
InsiderTracking (INK Research),Guaranteed placement
Yahoo Finance,Guaranteed placement
Yahoo Finance Canada,Guaranteed placement
Yahoo Finance Spain (Yahoo Finanzas),Guaranteed placement
Benzinga,Guaranteed placement
Apple News,Guaranteed placement
Associated Press (AP),Guaranteed placement
Barchart.com,Guaranteed placement
Marketwatch,Guaranteed placement
The Globe and Mail,Guaranteed placement
StreetInsider.com,Guaranteed placement
Digital Journal,Guaranteed placement
National Post,Guaranteed placement
Financial Post,Guaranteed placement
Dow Jones Factiva,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Thomson Reuters Newsroom and Terminals,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Canadian Insider,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Bloomberg Terminal,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Postmedia,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Newsfile Corp.,Guaranteed placement
Central Charts,Guaranteed placement
FinanzNachrichten,Guaranteed placement
INK Research,Guaranteed placement
Canada.com,Guaranteed placement
Canoe.com,Guaranteed placement
Windsor Star,Guaranteed placement
London Free Press,Guaranteed placement
Toronto Sun,Guaranteed placement
Ottawa Citizen,Guaranteed placement
Ottawa Sun,Guaranteed placement
Montreal Gazette,Guaranteed placement
The Province,Guaranteed placement
Vancouver Sun,Guaranteed placement
Regina Leader Post,Guaranteed placement
Saskatoon Star Phoenix,Guaranteed placement
Winnipeg Sun,Guaranteed placement
Calgary Herald,Guaranteed placement
Calgary Sun,Guaranteed placement
Edmonton Journal,Guaranteed placement
Edmonton Sun,Guaranteed placement
Airdrie Echo,Guaranteed placement
Belleville Intelligencer,Guaranteed placement
Bow Valley Crag & Canyon,Guaranteed placement
Brantford Expositor,Guaranteed placement
Brockville Recorder & Times,Guaranteed placement
Chatham Daily News,Guaranteed placement
Chatham This Week,Guaranteed placement
Clinton News Record,Guaranteed placement
Cochrane Times,Guaranteed placement
Cochrane Times-Post,Guaranteed placement
Cold Lake Sun,Guaranteed placement
Cornwall Standard-Freeholder,Guaranteed placement
County Market,Guaranteed placement
Devon Dispatch,Guaranteed placement
Drayton Valley Western Review,Guaranteed placement
Edmonton Examiner,Guaranteed placement
Elliot Lake Standard,Guaranteed placement
Exeter Lakeshore Times Advance,Guaranteed placement
Fairview Post,Guaranteed placement
Fort Mcmurray Today,Guaranteed placement
Fort Saskatchewan Record,Guaranteed placement
Gananoque Reporter,Guaranteed placement
Goderich Signal Star,Guaranteed placement
Grande Prairie Daily Herald Tribune,Guaranteed placement
Grey Bruce This Week,Guaranteed placement
Hanna Herald,Guaranteed placement
Hanover Post,Guaranteed placement
High River Times,Guaranteed placement
Kenora Miner,Guaranteed placement
Kincardine News,Guaranteed placement
Kingston/Frontenac This Week,Guaranteed placement
La Nouvelle Beaumont News,Guaranteed placement
Leduc Representative,Guaranteed placement
Lucknow Sentinel,Guaranteed placement
Mayerthorpe Freelancer,Guaranteed placement
Melfort Journal,Guaranteed placement
Mid-North Monitor,Guaranteed placement
Mitchell Advocate,Guaranteed placement
Nanton News,Guaranteed placement
Nipawin Journal,Guaranteed placement
North Bay Nugget,Guaranteed placement
Northern News,Guaranteed placement
Ontario Farmer,Guaranteed placement
Owen Sound Sun Times,Guaranteed placement
Peace River Record Gazette,Guaranteed placement
Pembroke Observer,Guaranteed placement
Pincher Creek Echo,Guaranteed placement
Prince George Post,Guaranteed placement
Sarnia & Lambton County This Week,Guaranteed placement
Sault Star,Guaranteed placement
Sault This Week,Guaranteed placement
Seaforth Huron Expositor,Guaranteed placement
Sherwood Park News,Guaranteed placement
Simcoe Reformer,Guaranteed placement
Spruce Grove Examiner,Guaranteed placement
St. Thomas Times-Journal,Guaranteed placement
Stony Plain Reporter,Guaranteed placement
Strathroy Age Dispatch,Guaranteed placement
Sudbury Star,Guaranteed placement
The Community Press,Guaranteed placement
The County Weekly News,Guaranteed placement
The Daily Press,Guaranteed placement
The Daily Press,Guaranteed placement
The Graphic Leader,Guaranteed placement
The Kingston Whig Standard,Guaranteed placement
The Londoner,Guaranteed placement
The Napanee Guide,Guaranteed placement
The Paris Star,Guaranteed placement
The Peace Country Sun,Guaranteed placement
The Sarnia Observer,Guaranteed placement
The Shoreline Beacon,Guaranteed placement
The Stratford Beacon Herald,Guaranteed placement
The West Elgin Chronicle,Guaranteed placement
The Woodstock Sentinel Review,Guaranteed placement
Tillsonburg News,Guaranteed placement
Timmins Times,Guaranteed placement
Today'S Farmer,Guaranteed placement
Trenton Trentonian,Guaranteed placement
Vermilion Standard,Guaranteed placement
Vulcan Advocate,Guaranteed placement
Wallaceburg Courier Press,Guaranteed placement
Wetaskiwin Times,Guaranteed placement
Whitecourt Star,Guaranteed placement
Wiarton Echo,Guaranteed placement
1st Discount Brokerage,Guaranteed placement
Benton Courier,Guaranteed placement
Big Spring Herald,Guaranteed placement
Bingham News Chronicle,Guaranteed placement
Borger News-Herald,Guaranteed placement
Boston Herald,Guaranteed placement
BPAS,Guaranteed placement
Burlingame.com,Guaranteed placement
CorteMadera.com,Guaranteed placement
Custer County Chief,Guaranteed placement
Daily Times Leader,Guaranteed placement
DalyCity.com,Guaranteed placement
Decatur Daily Democrat,Guaranteed placement
Deer Park Tribune,Guaranteed placement
Fat Pitch Financials,Guaranteed placement
Franklin Credit Management Corporation,Guaranteed placement
